"Country","ISO_TER1","Forest_ha","Protected_forest_ha","Deforested_ha","Protected_deforested_ha","perc_restorable","perc_restorable_TNC","perc_restorable_Gold","Unprotected_forest_ha","Unprotected_deforested_ha","Unprotected_restorable_ha","Protected_restorable_ha","Protected_forest_prop","Protected_deforested_prop","Growth_rate_GMW","total_rate_10_16","erosion_rate_10_16","ewe_rate_10_16","commodities_rate_10_16","npc_rate_10_16","settle_rate_10_16","zscore_growth","zscore_loss"
"Ghana","GHA",20558.4814118763,10172.7287948471,2648.27509869919,2276.67960288765,0.85316847,0.85316847,0.872384937238494,10385.7526170292,371.59549581154,317.033560620423,1942.39125347586,0.49481907690762,0.85968395202067,0.00269444757369285,-0.000180749169789182,-2.12544368925062e-05,0,0,-0.000116932959692377,-4.25115846372292e-05,-0.17363759044366,0.448087541750534
"Grenada","GRD",194.798730962771,63.4181478933528,2.57062517962456,0.956657888399065,0.651407727343199,0.666666667,0.651407727343199,131.380583069418,1.61396729122549,1.05135076518346,0.623174340926979,0.325557294854621,0.372149894112056,0.00123037102286635,-0.000644067719957287,-0.00027776830200969,-7.38728189889869e-05,-6.59333621469275e-05,-0.000202744728829188,-2.2871556286353e-05,-0.274030874716986,-0.165095153686515
"Guadeloupe","GLP",3726.86592501859,3609.78306245922,19.3794221508905,19.1456745948046,0.651407727343199,1,0.651407727343199,117.08286255937,0.233747556085898,0.152264964281942,12.4716403762541,0.968584095882444,0.987938362957063,0.000256745985345289,-0.000644067719957287,-0.00027776830200969,-7.38728189889869e-05,-6.59333621469275e-05,-0.000202744728829188,-2.2871556286353e-05,-0.340793377751613,-0.165095153686515
"Guatemala","GTM",24071.5537251665,11181.4782902665,2052.0729428917,986.817144393699,0.93147556,0.93147556,1.14285714285714,12890.0754349,1065.255798498,992.259741449173,919.196052191722,0.46451003611688,0.480887946898766,0.00894193385649426,-2.10365995037077e-05,0,0,-2.10365995037077e-05,0,0,0.254759180223093,0.659460439095769
"Guinea","GIN",221769.534804117,56153.0697058145,5735.92210892853,1366.84114743928,0.736702631080825,0.840437571,0.736702631080825,165616.465098302,4369.08096148925,3218.71343973427,1006.95546958805,0.253204615121788,0.23829492825777,0.00113546610890942,-0.000852134657320877,-5.24203357327992e-05,-1.07353527200533e-05,-0.000210412607207217,-0.000477443809526344,-9.98022933816386e-05,-0.280538605477673,-0.440463030577364
"Guinea-Bissau","GNB",260879.313341898,100036.392168621,5895.64450397684,1946.63640075847,0.772464814,0.772464814,0.836734693877551,160842.921173277,3949.00810321837,3050.46980993707,1503.70812523752,0.383458507641491,0.330182119943865,0.000590229751154224,-8.4915907354093e-05,-1.66384027271592e-05,-1.70642640185002e-06,-2.73049192129139e-05,-3.88255238188144e-05,-4.26604962526577e-07,-0.31792604169429,0.574918850687232
"Guyana","GUY",26911.4388782346,14697.1674995074,3270.31408331989,1569.54500988921,0.285104566794708,0.735790131,0.285104566794708,12214.2713787272,1700.76907343068,484.897029898291,447.484450109259,0.546130868959005,0.479937085521728,0.00588485343476011,-0.00699765903842078,-0.00107182401838582,-0.000656597543591599,-3.52547154496407e-05,-0.00102844075582918,-1.41009913081162e-05,0.0451319283882619,-8.57380714880807
"Haiti","HTI",14760.1321204037,6763.38891555231,1891.77574851214,647.722261989165,0.437837837837838,0.782983306,0.437837837837838,7996.74320485139,1244.05348652297,544.693688693843,283.59731470877,0.458220079629431,0.342388500591886,0.0043189430440996,-0.000963625907707171,-0.000531312791441099,-7.00763842901119e-05,0,-0.000340647348323238,-3.00291283356487e-05,-0.062244210453242,-0.588017030745737
"Honduras","HND",59500.3805240269,41759.7340746736,11028.5933287263,7775.97617456824,0.949784017,0.949784017,0.971428571428571,17740.6464493533,3252.61715415806,3089.28378643935,7385.49788717772,0.701839781643255,0.70507415975835,0.00787914976136814,-0.000584091656544831,-4.2405583969636e-06,-2.96861748028262e-05,-0.000520273002849206,-2.96861748028262e-05,0,0.181882945901237,-0.0857193458074439
"India","IND",350683.238787035,147494.591015759,23618.4442251039,6465.08702466398,0.277869822485207,0.723522431,0.277869822485207,203188.647771275,17153.35720044,4766.4003203116,1796.45258389479,0.420592074847726,0.273730435546312,0.00402167268847889,-0.000449768008458283,-0.000370676148023924,-4.42991803106586e-05,-2.76835383998229e-06,-2.6647314543878e-05,-5.19070117071144e-06,-0.082628354507059,0.0920523764013101
"Indonesia","IDN",2668276.2940794,652010.176612453,225290.502290709,25454.0921419836,0.830980469818278,0.846807642,0.830980469818278,2016266.11746695,199836.410148725,166060.153992186,21151.8534469433,0.244356320242843,0.112983423105597,0.0027950352533247,-0.000837788610893249,-0.000133230136705592,-2.07517156153542e-05,-0.000618442755943406,-5.09767321560922e-05,-1.35506909594587e-05,-0.166740186404251,-0.421476639002569
"Iran","IRN",7827.75061732719,7691.83790925035,305.37475091802,277.874759710621,0.575091575,0.575091575,0.818181818181818,135.91270807684,27.499991207399,15.8150132559493,159.803433214728,0.982637067183005,0.909946742077633,0.0020767636059058,-9.86280833891466e-06,0,-9.86280833891466e-06,0,0,0,-0.215992836236043,0.674248483697464
"Ivory Coast","CIV",5821.98162043589,438.829690986327,587.290621648919,32.9687156625432,0.909565217,0.909565217,1,5383.15192944956,554.321905986376,504.191924706352,29.9871970158124,0.0753746266470474,0.0561369694104392,0.0011393655844086,-5.62967972475523e-05,0,0,0,-5.62967972475523e-05,0,-0.280271214300562,0.612795044225718
"Jamaica","JAM",9585.9031576703,5479.0938732269,809.622578787176,639.543053368088,0.623885918003565,0.73221216,0.623885918003565,4106.8092844434,170.079525419088,106.110220849698,399.001904953352,0.571578262695333,0.789927393485161,0.00442838006570168,-0.00104437425850482,-0.000387146902689958,0,0,-0.000536289343663897,-0.000104143423756048,-0.0547399976349153,-0.694884090949205
"Japan","JPN",985.961910105079,740.025864676296,30.4737811358631,21.3032600312596,0.5,0.5,0.897181628392484,245.936045428783,9.1705211046035,4.58526055230175,10.6516300156298,0.75056232608157,0.699068485669107,0,-0.000286498791876445,-5.01809953044612e-05,-6.33781839691552e-06,-0.000196584525591033,-3.01067840910603e-05,-2.64072837632049e-06,-0.358398722689522,0.308132346152624
"Kenya","KEN",53271.5267976106,7932.95409651761,4251.30110259167,304.447314746423,0.715789473684211,0.835869294,0.715789473684211,45338.572701093,3946.85378784525,2825.11639551028,217.920183186913,0.14891546335168,0.0716127386415482,0.00588548698791452,-0.000330057620389002,-4.94669935119494e-05,-3.2976364298535e-05,0,-0.00024748191742567,0,0.0451753718010377,0.2504840610414
"Liberia","LBR",19040.796579337,5834.20813273295,642.57068878336,350.463404464041,0.4,0.827079935,0.4,13206.588446604,292.107284319319,116.842913727728,140.185361785616,0.306405675226015,0.545408327179702,0.00117827706465541,-1.65139129851903e-05,0,0,0,-1.65139129851903e-05,0,-0.277603012767173,0.66544602527408
"Madagascar","MDG",259974.410263326,32464.2542909592,10577.5098684145,1418.07364325381,0.792957191,0.792957191,0.853286757700857,227510.155972367,9159.43622516069,7263.04082024706,1124.47169278568,0.124874806939946,0.13406497946065,0.0028168460455119,-0.00179531647783548,-0.000244978127990288,-0.000656597543591599,-0.000143174257247564,-0.000743583054644755,-5.38018831739259e-07,-0.16524459721594,-1.68872466564578
"Malaysia","MYS",513103.565717184,110119.587550729,22776.0497028935,3431.14424155288,0.690698954320308,0.814339843,0.690698954320308,402983.978166455,19344.9054613406,13361.5059735732,2369.88773976272,0.214614738443321,0.150647029942026,0.00194273360176046,-0.000998024067645378,-0.000115238085109639,-7.58970489188585e-06,-0.000730736779576689,-4.03920470307748e-05,-0.000102761411059621,-0.225183415990717,-0.633541554685759
"Martinique","MTQ",1702.66921542086,1702.66950501316,4.79738163056523,4.79738169206684,0.5,0.5,1,0,0,0,2.39869084603342,1,1,0.000689792637367111,-0.000125928730332976,0,0,0,-0.000125928730332976,0,-0.311098908828184,0.52064009726251
"Mauritius","MUS",714.972742770602,64.8248022922058,29.3884083480686,3.63153906148896,0.78789353304399,0.962962963,0.78789353304399,650.147940478396,25.7568692865796,20.2936707423555,2.86126614154379,0.0906675155768907,0.123570457388436,0.00261829278730742,-0.00115755824600714,-0.000182540188412855,-0.000414167002300679,-8.55117782193687e-05,-0.000470945009187445,-6.728661273696e-07,-0.178859605039857,-0.844678357791758
"Mayotte","MYT",591.83427435672,539.262078108817,3.64013141035587,3.37566189814992,0.710041117674125,1,0.710041117674125,52.572196247903,0.26446951220595,0.187784228037444,2.39685874705233,0.91117074741059,0.92734616353312,0.000285267569230749,-0.000559700509044506,-0.000127717431001307,-0.000138028105139746,-0.000127143069746365,-0.000162264501595964,-3.6445337734541e-06,-0.338837622448161,-0.0534386836936016
"Mexico","MEX",971365.461092689,731497.539147735,170221.848688126,117379.959366361,0.659370078740158,0.896021923,0.659370078740158,239867.921944954,52841.889321765,34842.3607228709,77396.833049914,0.753061096412542,0.689570465078311,0.0120630613879689,-0.000233485987314167,-6.93278006075194e-05,-2.49937418482196e-05,-1.97213124939299e-05,-0.000108203044266891,-1.11295627587567e-05,0.468778210405465,0.378292572593764
"Micronesia","FSM",8405.1139516012,0,15.1813970056325,0,0.781812515360747,0.866666667,0.781812515360747,8405.1139516012,15.1813970056325,11.8690061796637,0,0,0,0,-0.0003951828626663,-0.000109734609069685,-1.61689806729361e-05,-0.000234130143051256,-3.04283480356619e-05,-4.12840336814991e-06,-0.358398722689522,0.164293530603766
"Mozambique","MOZ",300174.800972751,175259.980371798,30171.0086406098,12854.7261434945,0.533534136546185,0.906288274,0.533534136546185,124914.820600953,17316.2824971153,9238.82783028823,6858.43521350701,0.583859737072692,0.426062194228144,0.00758126804964546,-0.000585138108343828,-0.000230531177984392,-0.000213303802240411,-3.357000184742e-06,-0.000134332776407925,-2.9373714638469e-06,0.161456880510108,-0.0871042809336569
"Myanmar","MMR",498176.752586842,15139.8314369319,58089.7902232724,727.751302571756,0.76169082,0.76169082,0.951285465533135,483036.92114991,57362.0389207006,43692.1384623804,554.321486411949,0.030390481607816,0.0125280414987658,0.00614290023869287,-0.00172236057500105,-9.78210243634012e-05,-3.85747277723689e-05,-0.00152271586347144,-6.10554581750047e-05,-3.03703143543231e-07,0.06282647183848,-1.59217058394146
"New Caledonia","NCL",29616.309475853,9216.03564005674,898.457044033125,181.911291218363,0.787037037037037,0.883116883,0.787037037037037,20400.2738357963,716.545752814762,563.948046196803,143.170923644082,0.311181095928608,0.202470771893304,0,-0.000125668645071825,-4.37000865580149e-05,-2.73112113133342e-05,0,-4.91634031194557e-05,0,-0.358398722689522,0.52098430921219
"New Zealand","NZL",31095.6550035117,2918.56736064145,1885.11284969295,186.418503501576,0.588957055214724,0.777599143,0.588957055214724,28177.0876428703,1698.69434619137,1000.45801984277,109.792492859824,0.0938577225760914,0.0988898375669871,0.00587371666708416,-0.000192211607818379,-4.26896166068459e-06,0,0,-0.000179390601875944,-8.53803266837194e-06,0.0443682683989352,0.432917485113533
"Nicaragua","NIC",73731.1087587511,56043.0313924484,8022.65220220508,6454.73910065324,0.877094972067039,0.954800184,0.877094972067039,17688.0773663027,1567.91310155184,1375.20869800916,5661.41921118748,0.760100211917628,0.804564243590058,0.00552232670196347,-0.000665167550535181,-7.50599048455588e-05,-9.62117582580606e-06,-0.000558948314306265,-2.11673199955807e-05,0,0.0202730852343384,-0.193019895707579
"Nigeria","NGA",692693.260684985,37283.303145433,13599.8969841367,386.40915753627,0.636183340678713,0.88803619,0.636183340678713,655409.957539552,13213.4878266004,8406.20082754417,245.827068710271,0.0538236839615916,0.0284126532713438,0.000445927724983762,-0.000137405620696362,-2.13432873645485e-05,-6.3192516227048e-05,-4.22612829186942e-07,-4.48029244636704e-05,-7.60719488622827e-06,-0.327820984910456,0.505450913566534
"Oman","OMN",115.686086230818,40.2737037441537,9.91772609239221,0.341864385348558,0.6,0.888888889,0.6,75.4123824866643,9.57586170704365,5.74551702422619,0.205118631209135,0.348129192164036,0.0344700369987833,0.00905105050509333,-0.000687286197310321,0,0,0,-0.000343288827168417,-0.000343288827168417,0.262241424724294,-0.222292998293434
